[2022-01-07 22:58:34.979] <Katago>    (in) : name
[2022-01-07 22:58:34.981] <Katago>    (in) : version
[2022-01-07 22:58:34.982] <Katago>    (in) : protocol_version
[2022-01-07 22:58:34.982] <Katago>    (in) : list_commands
[2022-01-07 22:58:34.983] <Katago>  (meta) : Engine Started
[2022-01-07 22:58:35.146] <Katago>   (err) : KataGo v1.10.0
[2022-01-07 22:58:35.147] <Katago>   (err) : Using TrompTaylor rules initially, unless GTP/GUI overrides this
[2022-01-07 22:58:37.256] <Katago>   (err) : Creating context for OpenCL Platform: NVIDIA CUDA (NVIDIA Corporation) (OpenCL 3.0 CUDA 11.5.125)
[2022-01-07 22:58:37.351] <Katago>   (err) : Using OpenCL Device 0: NVIDIA GeForce GTX 1060 6GB (NVIDIA Corporation) OpenCL 3.0 CUDA (Extensions: cl_khr_global_int32_base_atomics cl_khr_global_int32_extended_atomics cl_khr_local_int32_base_atomics cl_khr_local_int32_extended_atomics cl_khr_fp64 cl_khr_3d_image_writes cl_khr_byte_addressable_store cl_khr_icd cl_khr_gl_sharing cl_nv_compiler_options cl_nv_device_attribute_query cl_nv_pragma_unroll cl_nv_d3d10_sharing cl_khr_d3d10_sharing cl_nv_d3d11_sharing cl_nv_copy_opts cl_nv_create_buffer cl_khr_int64_base_atomics cl_khr_int64_extended_atomics cl_khr_device_uuid cl_khr_pci_bus_info)
[2022-01-07 22:58:37.362] <Katago>   (err) : Loaded tuning parameters from: C:\Users\Dmitry\Downloads\katago-v1.10.0-opencl-windows-x64/KataGoData/opencltuning/tune8_gpuNVIDIAGeForceGTX10606GB_x19_y19_c320_mv8.txt
[2022-01-07 22:58:39.477] <Katago>   (err) : Initializing board with boardXSize 19 boardYSize 19
[2022-01-07 22:58:39.486] <Katago>   (out) : = KataGo
[2022-01-07 22:58:39.487] <Katago>   (out) : 
[2022-01-07 22:58:39.487] <Katago>   (out) : = 1.10.0
[2022-01-07 22:58:39.488] <Katago>   (out) : 
[2022-01-07 22:58:39.488] <Katago>   (out) : = 2
[2022-01-07 22:58:39.488] <Katago>   (out) : 
[2022-01-07 22:58:39.489] <Katago>   (out) : = protocol_version
[2022-01-07 22:58:39.489] <Katago>   (out) : name
[2022-01-07 22:58:39.489] <Katago>   (out) : version
[2022-01-07 22:58:39.490] <Katago>   (out) : known_command
[2022-01-07 22:58:39.490] <Katago>   (out) : list_commands
[2022-01-07 22:58:39.490] <Katago>   (out) : quit
[2022-01-07 22:58:39.490] <Katago>   (out) : boardsize
[2022-01-07 22:58:39.491] <Katago>   (out) : rectangular_boardsize
[2022-01-07 22:58:39.491] <Katago>   (out) : clear_board
[2022-01-07 22:58:39.491] <Katago>   (out) : set_position
[2022-01-07 22:58:39.491] <Katago>   (out) : komi
[2022-01-07 22:58:39.492] <Katago>   (out) : get_komi
[2022-01-07 22:58:39.492] <Katago>   (out) : play
[2022-01-07 22:58:39.492] <Katago>   (out) : undo
[2022-01-07 22:58:39.492] <Katago>   (out) : kata-get-rules
[2022-01-07 22:58:39.493] <Katago>   (out) : kata-set-rule
[2022-01-07 22:58:39.493] <Katago>   (out) : kata-set-rules
[2022-01-07 22:58:39.493] <Katago>   (out) : kata-get-param
[2022-01-07 22:58:39.493] <Katago>   (out) : kata-set-param
[2022-01-07 22:58:39.494] <Katago>   (out) : kata-list-params
[2022-01-07 22:58:39.494] <Katago>   (out) : kgs-rules
[2022-01-07 22:58:39.494] <Katago>   (out) : genmove
[2022-01-07 22:58:39.495] <Katago>   (out) : genmove_debug
[2022-01-07 22:58:39.495] <Katago>   (out) : search_debug
[2022-01-07 22:58:39.495] <Katago>   (out) : clear_cache
[2022-01-07 22:58:39.495] <Katago>   (out) : showboard
[2022-01-07 22:58:39.496] <Katago>   (out) : fixed_handicap
[2022-01-07 22:58:39.496] <Katago>   (out) : place_free_handicap
[2022-01-07 22:58:39.496] <Katago>   (out) : set_free_handicap
[2022-01-07 22:58:39.496] <Katago>   (out) : time_settings
[2022-01-07 22:58:39.497] <Katago>   (out) : kgs-time_settings
[2022-01-07 22:58:39.497] <Katago>   (out) : time_left
[2022-01-07 22:58:39.497] <Katago>   (out) : kata-list_time_settings
[2022-01-07 22:58:39.497] <Katago>   (out) : kata-time_settings
[2022-01-07 22:58:39.498] <Katago>   (out) : final_score
[2022-01-07 22:58:39.498] <Katago>   (out) : final_status_list
[2022-01-07 22:58:39.498] <Katago>   (out) : loadsgf
[2022-01-07 22:58:39.498] <Katago>   (out) : printsgf
[2022-01-07 22:58:39.498] <Katago>   (out) : lz-genmove_analyze
[2022-01-07 22:58:39.499] <Katago>   (out) : kata-genmove_analyze
[2022-01-07 22:58:39.499] <Katago>   (out) : lz-analyze
[2022-01-07 22:58:39.499] <Katago>   (out) : kata-analyze
[2022-01-07 22:58:39.499] <Katago>   (out) : kata-raw-nn
[2022-01-07 22:58:39.500] <Katago>   (out) : cputime
[2022-01-07 22:58:39.500] <Katago>   (out) : gomill-cpu_time
[2022-01-07 22:58:39.500] <Katago>   (out) : kata-debug-print-tc
[2022-01-07 22:58:39.500] <Katago>   (out) : stop
[2022-01-07 22:58:39.500] <Katago>   (out) : 
